month,state,cases,rainfall in mm,temperature,avg relative humidity,mosquito,disease
jan,rajasthan,12,24.4,17.78,37.22,anopheles,malaria
mar,rajasthan,8,2.1,27.96,24.17,anopheles,malaria
may,rajasthan,14,5.7,37.89,19.33,anopheles,malaria
jun,rajasthan,28,55.1,37.67,32.15,anopheles,malaria
jul,rajasthan,97,270.2,34,51.92,anopheles,malaria
aug ,rajasthan,172,216.8,31.2,64.5,anopheles,malaria
sep,rajasthan,291,54.2,31.2,53.27,anopheles,malaria
nov,rajasthan,114,1.1,24.77,29.02,anopheles,malaria
jan,punjab,1,28.85,14.09,58.02,anopheles,malaria
mar,punjab,2,31.43,24.01,48.06,anopheles,malaria
may,punjab,4,17.17,27.92,20.05,anopheles,malaria
jun,punjab,14,24.91,31,26.37,anopheles,malaria
jul,punjab,17,85.55,29.5,49.06,anopheles,malaria
aug ,punjab,20,125.3,26.7,64.55,anopheles,malaria
sep,punjab,39,63.41,24.48,34.15,anopheles,malaria
nov,punjab,9,6.93,16.14,29.69,anopheles,malaria
jan,uttar pradesh,246,13.85,17.59,55.45,anopheles,malaria
mar,uttar pradesh,403,9.31,28.63,32.32,anopheles,malaria
may,uttar pradesh,126,5.95,39.58,21.28,anopheles,malaria
jun,uttar pradesh,1018,54.17,38.8,34.18,anopheles,malaria
jul,uttar pradesh,483,169.45,33.7,61.77,anopheles,malaria
aug ,uttar pradesh,1516,127.07,32.1,68.85,anopheles,malaria
sep,uttar pradesh,5700,91.24,31.12,66.74,anopheles,malaria
nov,uttar pradesh,878,16.34,25.17,38.14,anopheles,malaria
jan,uttarakhand,0,34.68,12.85,48.19,anopheles,malaria
mar,uttarakhand,0,23.57,22.39,35.99,anopheles,malaria
may,uttarakhand,0,21.36,32.68,26.53,anopheles,malaria
jun,uttarakhand,1,106.05,33.23,40.62,anopheles,malaria
jul,uttarakhand,1,342.29,28.87,72.61,anopheles,malaria
aug ,uttarakhand,9,358.35,27.12,81.54,anopheles,malaria
sep,uttarakhand,3,141.99,26.11,75.54,anopheles,malaria
nov,uttarakhand,0,1.75,14.26,45.7,anopheles,malaria
jan,gujarat,79,0,23.5,34.99,anopheles,malaria
mar,gujarat,155,0.18,30.88,31.23,anopheles,malaria
may,gujarat,251,0.09,35.8,45.6,anopheles,malaria
jun,gujarat,339,8.91,33.8,57.4,anopheles,malaria
jul,gujarat,660,18.09,29.9,73,anopheles,malaria
aug ,gujarat,843,16.82,28.65,77,anopheles,malaria
sep,gujarat,921,12.27,29.39,72.8,anopheles,malaria
nov,gujarat,446,0,29.36,33.8,anopheles,malaria
jan,jammu & kashmir,1,37.39,13.84,39.24,anopheles,malaria
mar,jammu & kashmir,1,61.17,22.05,41.17,anopheles,malaria
may,jammu & kashmir,3,16.28,33.9,23.68,anopheles,malaria
jun,jammu & kashmir,8,22.2,36.38,27.26,anopheles,malaria
jul,jammu & kashmir,7,68.05,34.35,46.99,anopheles,malaria
aug ,jammu & kashmir,3,97.23,31.74,60.1,anopheles,malaria
sep,jammu & kashmir,9,53.4,30.19,50.48,anopheles,malaria
nov,jammu & kashmir,6,11.09,20.64,26.99,anopheles,malaria
jan,himachal pradesh,0,52.5,8.5,46.8,anopheles,malaria
mar,himachal pradesh,1,68,16.3,45.3,anopheles,malaria
may,himachal pradesh,2,53.9,25.6,36.1,anopheles,malaria
jun,himachal pradesh,3,116.14,26.7,47.2,anopheles,malaria
jul,himachal pradesh,2,304.58,24.04,77.5,anopheles,malaria
aug ,himachal pradesh,6,348.35,22.7,86.18,anopheles,malaria
sep,himachal pradesh,3,148.5,21.58,76.1,anopheles,malaria
nov,himachal pradesh,1,10.2,13.99,43.15,anopheles,malaria
